,ID,Name,Team,TBF,AVG,OBP,SLG,K%,BB%,Pit_side
33,10825,김원중,LG Twins,277,0.25,0.332,0.335,24.5,11.2,Right
34,14608,정해영,KIA Tigers,210,0.244,0.305,0.404,23.8,7.6,Right
35,14747,김재열,KT Wiz,284,0.233,0.311,0.349,23.6,10.2,Right
36,14805,조병현,SSG Landers,302,0.197,0.283,0.326,31.8,10.3,Right
37,13080,김시훈,KT Wiz,477,0.269,0.361,0.386,15.5,12.4,Right
38,16064,카스타노,KT Wiz,476,0.269,0.316,0.416,18.7,5.3,Left
39,13934,켈리,Lotte Giants,495,0.29,0.331,0.421,13.9,5.1,Right
40,15432,윤영철,KIA Tigers,362,0.263,0.353,0.391,16.0,11.9,Left
41,15063,황동하,KIA Tigers,464,0.268,0.349,0.408,17.5,9.5,Right
42,13167,김민,Doosan Bears,336,0.277,0.34,0.37,22.9,8.0,Right
43,14792,김진욱,LG Twins,388,0.264,0.353,0.46,22.4,11.3,Left
44,10452,임창민,Hanwha Eagles,253,0.279,0.367,0.381,19.8,11.9,Right
45,11164,장현식,KIA Tigers,331,0.26,0.339,0.399,22.7,10.3,Right
46,15099,이병헌,NC Dinos,285,0.256,0.349,0.332,20.0,11.9,Left
47,11308,고영표,Doosan Bears,456,0.333,0.366,0.459,17.3,3.1,Right
48,10690,김강률,NC Dinos,187,0.255,0.346,0.317,17.6,11.2,Right
49,15013,문동주,Samsung Lions,502,0.327,0.382,0.488,19.1,7.6,Right
50,13088,김영규,KT Wiz,183,0.244,0.304,0.323,26.2,7.7,Left
51,16150,바리아,Samsung Lions,405,0.299,0.328,0.436,20.5,4.4,Right
52,12537,전상현,KIA Tigers,272,0.224,0.295,0.331,19.9,7.4,Right
53,12934,최지광,Hanwha Eagles,154,0.176,0.307,0.264,24.7,13.6,Right
54,10696,홍건희,NC Dinos,264,0.253,0.36,0.359,17.0,12.5,Right
55,16160,에르난데스,Lotte Giants,195,0.233,0.303,0.364,28.2,8.2,Right
56,10863,한현희,LG Twins,342,0.305,0.371,0.44,20.5,7.0,Right
